"","Damage","LCI","UCI","Management","LCI","UCI","Mixed","LCI","UCI"
"Europe",5.65742311600252,4.17341392624385,7.1414323057612,0.248056454382576,0.195818230162627,0.300294678602525,6.09629426932757,4.50591342677452,7.68667511188061
"Africa",4.708169011323,3.41467388421901,6.00166413842698,0.210175223837403,0.165760287244209,0.254590160430598,5.3222465594349,3.94626840757339,6.69822471129641
"South America",4.63228617185178,3.36248855240467,5.90208379129889,0.200968551215029,0.15794944623708,0.243987656192978,5.21417859532236,3.86915008382457,6.55920710682014
"Oceania",5.13264929770658,3.79102833988838,6.47427025552479,0.230083544457976,0.18378169428731,0.276385394628642,5.52611787685766,4.09365204587252,6.95858370784281
"Central America",5.74121568950646,4.15200872244974,7.33042265656319,0.256400104815803,0.200375923842791,0.312424285788815,6.48143941839999,4.79361445701602,8.16926437978396
"North America",40.8551454648156,39.2716601694559,42.4386307601752,0.629393311227115,0.573503357250317,0.685283265203914,6.44039600004408,4.75763689285844,8.12315510722973
"Asia",102.316215278805,101.006875052348,103.625555505262,0.208631930304652,0.16351604582951,0.253747814779794,5.75484030853303,4.36007703919504,7.14960357787101
"Antarctic-Subantarctic",0.617970598077154,0.472066963136185,0.763874233018124,0.0361832687440001,0.0296800926591893,0.042686444828811,0.738792735109285,0.57773885084445,0.899846619374121
