"","Damage","LCI","UCI","Management","LCI","UCI","Mixed","LCI","UCI"
"Europe",24.9680833867957,23.7253258021112,26.2108409714802,1.00787025881049,0.972030122144072,1.04371039547691,7.74339872119541,6.34750414237638,9.13929330001444
"Africa",15.7760718719579,14.5723296401039,16.9798141038118,0.300163995348625,0.263317501648781,0.337010489048468,7.36305859688289,5.9994751745079,8.72664201925789
"South America",28.0517205545141,26.7644283343036,29.3390127747245,0.326947937027732,0.288004261905719,0.365891612149745,7.85626920607812,6.39766733989344,9.31487107226281
"Oceania",28.4452748526117,27.2616289662074,29.628920739016,22.0395530023212,22.0027562385089,22.0763497661335,10.1487975435525,8.80735924217034,11.4902358449347
"Central America",6.90179635558735,5.48349600065255,8.32009671052215,0.345814000605514,0.304722156176524,0.386905845034504,8.67380356735139,7.08244120129399,10.2651659334088
"North America",326.85300677903,325.498283586855,328.207729971205,24.7981653371516,24.7587736575521,24.8375570167511,15.0419364579574,13.5212191025782,16.5626538133366
"Asia",61.2807545873602,60.0828641960667,62.4786449786537,0.298907600148129,0.263408683987529,0.33440651630873,9.91098794916493,8.567598640052,11.2543772582779
"Antarctic-Subantarctic",0.709645117452872,0.607966490119944,0.8113237447858,0.0402495926321944,0.0356151457462358,0.044884039518153,0.914205651458944,0.815035245190928,1.01337605772696
