"","Damage","LCI","UCI","Management","LCI","UCI","Mixed","LCI","UCI"
"Europe",2.09032068447246,1.58440230021712,2.5962390687278,0.249484286219191,0.200727868034986,0.298240704403396,3.14545862185524,2.39565539520853,3.89526184850196
"Africa",2.07484520432852,1.56868028365925,2.58101012499778,0.248719822108058,0.200019464254893,0.297420179961223,3.13276881225635,2.38485814886342,3.88067947564928
"South America",2.08141913595576,1.5740891151771,2.58874915673442,0.251500384251895,0.202422440105577,0.300578328398213,3.1542952445758,2.40251194552388,3.90607854362772
"Oceania",1.98581288306394,1.49461054349119,2.47701522263669,0.240770672413096,0.192030363972632,0.289510980853561,3.0124163795771,2.28467923769823,3.74015352145598
"Central America",2.0804016120456,1.57467398522085,2.58612923887036,0.249424920554637,0.201053381089285,0.297796460019988,3.13977429805409,2.39244459946304,3.88710399664514
"North America",2.55311217702617,2.04766977584795,3.05855457820438,0.77743491891733,0.728999537449331,0.825870300385328,3.13526722694231,2.38820198542961,3.88233246845501
"Asia",2.24271042480549,1.74083030107705,2.74459054853393,0.247459529681931,0.198659255790228,0.296259803573633,3.18986732617733,2.44960201907382,3.93013263328083
"Antarctic-Subantarctic",0.210109661519667,0.171467363812757,0.248751959226577,0.0271654779301347,0.0235497394778424,0.0307812163824271,0.346818091267994,0.28226092556702,0.411375256968968
