"","Damage","LCI","UCI","Management","LCI","UCI","Mixed","LCI","UCI"
"Europe",23.2236773232258,22.2860388505533,24.1613157958982,0.901345514191517,0.876024440053762,0.926666588329272,4.40532627204251,3.70499692278107,5.10565562130394
"Africa",14.0146193548994,13.1144870019626,14.9147517078362,0.193526887211352,0.166888425909859,0.220165348512845,4.04731342887148,3.37519791488135,4.71942894286161
"South America",26.2575647754278,25.2872355559217,27.227893994934,0.214372274621259,0.187408092006669,0.241336457235849,4.38497167190849,3.66078215951832,5.10916118429866
"Oceania",26.7197225869291,25.8397175770611,27.5997275967971,21.9361192677725,21.909719645761,21.9625188897839,6.91161828378787,6.25271817656373,7.57051839101202
"Central America",4.82839955435151,3.78544203591222,5.8713570727908,0.22312832761715,0.193790434508974,0.252466220725327,4.78583135836015,4.015948598264,5.55571411845631
"North America",324.801607711032,323.811448424759,325.791766997305,24.679310897005,24.6502944087958,24.7083273852143,11.2693028507116,10.5366128401863,12.0019928612369
"Asia",59.5532545491999,58.6452756662526,60.4612334321471,0.196123007888844,0.168876950299121,0.223369065478567,6.63829030989384,5.96623739587012,7.31034322391756
"Antarctic-Subantarctic",0.673455333260412,0.532183405929354,0.81472726059147,0.0338166132768922,0.0293618141431147,0.0382714124106696,0.695937049479886,0.593155506456655,0.798718592503118
