"","Damage","LCI","UCI","Management","LCI","UCI","Mixed","LCI","UCI"
"Europe",3.89675454873112,2.97873002302072,4.81477907444152,0.16801601006945,0.137781029379756,0.198250990759144,4.50206713591121,3.39043002766931,5.61370424415312
"Africa",3.15933797549235,2.3589723191559,3.95970363182879,0.140233456567665,0.114551992489186,0.165914920646144,3.92121120839649,2.9604754910259,4.88194692576709
"South America",3.10969188218857,2.32338073398809,3.89600303038905,0.133318885937389,0.108295505449987,0.158342266424791,3.84225328370414,2.90216779804217,4.7823387693661
"Oceania",3.57827590398697,2.73594185091946,4.42060995705447,0.159003899971269,0.132023331155954,0.185984468786583,4.12336627153232,3.11001177444296,5.13672076862168
"Central America",3.92651535378168,2.92376332859835,4.92926737896502,0.173466021699762,0.140110343979172,0.206821699420351,4.8813771222195,3.67611453058266,6.08663971385635
"North America",39.0505219515761,38.0511865075477,40.0498573956046,0.547033466566168,0.513783901838215,0.580283031294122,4.85227329359194,3.64944134615366,6.05510524103023
"Asia",100.770018914064,99.956784641029,101.5832531871,0.138710964619756,0.11256922486729,0.164852704372222,4.35174017212984,3.37659223356888,5.32688811069079
"Antarctic-Subantarctic",0.420061267441931,0.330178191627987,0.509944343255875,0.0230978998287922,0.0193476938971547,0.0268481057604297,0.550135511519746,0.439731590280203,0.660539432759288
